timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
140.0,15.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,92.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,16.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,107.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123.0,18.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,134.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
137.0,19.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,90.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,21.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,82.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
148.0,20.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,90.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,22.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,115.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110.0,17.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,96.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
111.0,17.0,2.0,0.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,98.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
130.0,17.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,145.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110.0,20.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,120.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115.0,19.0,2.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,123.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108.0,21.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,121.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115.0,19.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,125.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
121.0,14.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,152.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,9.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,161.0,0.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,10.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,118.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
98.0,19.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,149.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
109.0,14.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,108.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111.0,21.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,128.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114.0,17.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,155.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,13.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,125.0,0.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
139.0,18.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,141.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
